date,cnn_fng,vix,vvix,skew,nasdaq_close,kospi_close,sp500_close,russell2k_close,soxx_close,nasdaq_52w_high,kospi_52w_high,sp500_52w_high,russell2k_52w_high,soxx_52w_high,nasdaq_drop_pct,kospi_drop_pct,sp500_drop_pct,russell2k_drop_pct,soxx_drop_pct,tqqq_close,soxl_close,koru_close,smh_close,qqq_close,ewy_close,cnn_trigger,vix_trigger,margin_trigger,signal_count,sell_leverage_trigger,sell_leading_trigger,sell_expert_trigger,sell_signal_count,ratio_cash,ratio_core,ratio_sat,memo,stage
2025-07-25,74.66,14.93,90.59,145.57,21108.32,3196.05,6388.64,2261.07,240.53,21108.32,3215.28,6388.64,2283.13,245.92,0.0,-0.6,0.0,-0.97,-2.19,44.27,25.59,83.41,286.6,564.27,71.6,0,0,0,0,0,0,0,0,,,,,normal
2025-07-28,73.8,15.03,88.59,147.65,21178.58,3209.52,6389.77,2256.73,244.72,21178.58,3215.28,6389.77,2283.13,245.92,0.0,-0.18,0.0,-1.16,-0.49,44.71,26.87,81.61,290.51,566.04,71.11,0,0,0,0,0,0,0,0,,,,,normal
2025-07-29,70.63,15.98,95.14,149.12,21098.29,3230.57,6370.86,2242.96,245.16,21178.58,3230.57,6389.77,2283.13,245.92,-0.38,0.0,-0.3,-1.76,-0.31,44.5,27.02,84.11,291.99,565.16,71.88,0,0,0,0,0,0,0,0,,,,,normal
2025-07-30,68.03,15.48,94.33,154.08,21129.67,3254.47,6362.9,2232.4,246.92,21178.58,3254.47,6389.77,2283.13,246.92,-0.23,0.0,-0.42,-2.22,0.0,44.66,27.6,84.92,295.34,565.92,72.06,0,0,0,0,0,0,0,0,,,,,normal
2025-07-31,63.71,16.72,98.37,152.29,21122.45,3245.44,6339.39,2211.65,239.03,21178.58,3254.47,6389.77,2283.13,246.92,-0.27,-0.28,-0.79,-3.13,-3.2,43.92,24.97,81.72,287.88,562.92,71.21,0,0,0,0,0,0,0,0,,,,,normal
2025-08-01,49.8,20.38,109.79,155.49,20650.13,3119.41,6238.01,2166.78,236.25,21178.58,3254.47,6389.77,2283.13,246.92,-2.5,-4.15,-2.38,-5.1,-4.32,41.29,24.07,74.44,283.07,551.83,69.1,0,0,0,0,0,0,0,0,,,,,normal
2025-08-04,56.89,17.52,95.85,159.31,21053.58,3147.75,6329.94,2212.3,239.4,21178.58,3254.47,6389.77,2283.13,246.92,-0.59,-3.28,-0.94,-3.1,-3.05,43.55,24.99,79.83,289.29,562.01,70.74,0,0,0,0,0,0,0,0,,,,,normal
2025-08-05,55.03,17.85,97.65,149.91,20916.55,3198.0,6299.19,2225.67,237.73,21178.58,3254.47,6389.77,2283.13,246.92,-1.24,-1.74,-1.42,-2.52,-3.72,42.64,24.51,81.5,286.21,558.2,71.29,0,0,0,0,0,0,0,0,,,,,normal
2025-08-06,55.31,16.77,97.81,149.71,21169.42,3198.14,6345.06,2221.29,235.94,21178.58,3254.47,6389.77,2283.13,246.92,-0.04,-1.73,-0.7,-2.71,-4.45,44.24,23.98,82.41,285.73,565.22,71.57,0,0,0,0,0,0,0,0,,,,,normal
2025-08-07,54.71,16.57,97.37,147.03,21242.7,3227.68,6340.0,2214.72,239.84,21242.7,3254.47,6389.77,2283.13,246.92,0.0,-0.82,-0.78,-3.0,-2.87,44.68,24.99,83.29,290.22,567.13,71.83,0,0,0,0,0,0,0,0,,,,,normal
2025-08-08,58.37,15.15,93.14,147.53,21450.02,3210.01,6389.45,2218.42,241.86,21450.02,3254.47,6389.77,2283.13,246.92,0.0,-1.37,-0.01,-2.83,-2.05,45.89,25.7,83.32,292.62,572.42,71.89,0,0,0,0,0,0,0,0,,,,,normal
2025-08-11,57.63,16.25,97.09,148.55,21385.4,3206.77,6373.45,2216.51,241.4,21450.02,3254.47,6389.77,2283.13,246.92,-0.3,-1.47,-0.26,-2.92,-2.24,45.48,25.6,81.75,292.49,570.73,71.43,0,0,0,0,0,0,0,0,,,,,normal
2025-08-12,62.26,14.73,92.86,151.45,21681.9,3189.91,6445.76,2282.78,249.12,21681.9,3254.47,6445.76,2283.13,249.12,0.0,-1.98,0.0,-0.02,0.0,47.16,27.99,85.3,299.17,577.9,72.47,0,0,0,0,0,0,0,0,,,,,normal
2025-08-13,63.34,14.49,98.17,153.13,21713.14,3224.37,6466.58,2328.06,252.82,21713.14,3254.47,6466.58,2328.06,252.82,0.0,-0.92,0.0,0.0,0.0,47.23,29.26,87.4,300.35,578.19,73.08,0,0,0,0,0,0,0,0,,,,,normal
2025-08-14,63.26,14.83,98.04,150.62,21710.67,3225.66,6468.54,2299.08,253.08,21713.14,3254.47,6468.54,2328.06,253.08,-0.01,-0.89,0.0,-1.24,0.0,47.1,29.41,83.77,300.98,577.74,72.04,0,0,0,0,0,0,0,0,,,,,normal
2025-08-15,63.54,15.09,97.85,153.79,21622.98,,6449.8,2286.52,247.28,21713.14,,6468.54,2328.06,253.08,-0.42,,-0.29,-1.78,-2.29,46.44,27.36,82.72,294.73,575.2,71.78,0,0,0,0,0,0,0,0,,,,,normal
2025-08-18,64.2,14.99,96.63,153.95,21629.77,3177.28,6449.15,2294.47,248.01,21713.14,3254.47,6468.54,2328.06,253.08,-0.38,-2.37,-0.3,-1.44,-2.0,46.38,27.52,80.71,295.94,574.97,71.2,0,0,0,0,0,0,0,0,,,,,normal
2025-08-19,59.89,15.57,102.09,153.17,21314.95,3151.56,6411.37,2276.61,244.13,21713.14,3254.47,6468.54,2328.06,253.08,-1.83,-3.16,-0.88,-2.21,-3.54,44.48,26.23,76.32,289.97,567.17,69.87,0,0,0,0,0,0,0,0,,,,,normal
